Curie,Uri
DRUGBANK:DB01229,http://purl.obolibrary.org/obo/DRUGBANK_DB01229
DRUGBANK:DB00201,http://purl.obolibrary.org/obo/DRUGBANK_DB00201
GO:0050663,http://purl.obolibrary.org/obo/GO_0050663
MOP:0000781,http://purl.obolibrary.org/obo/MOP_0000781
DRUGBANK:DB11347,http://purl.obolibrary.org/obo/DRUGBANK_DB11347
DRUGBANK:DB00157,http://purl.obolibrary.org/obo/DRUGBANK_DB00157
DRUGBANK:DB10549,http://purl.obolibrary.org/obo/DRUGBANK_DB10549
UBERON:0004458,http://purl.obolibrary.org/obo/UBERON_0004458
DRUGBANK:DB14009,http://purl.obolibrary.org/obo/DRUGBANK_DB14009
DRUGBANK:DB11627,http://purl.obolibrary.org/obo/DRUGBANK_DB11627
DRUGBANK:DB11135,http://purl.obolibrary.org/obo/DRUGBANK_DB11135
DRUGBANK:DB00121,http://purl.obolibrary.org/obo/DRUGBANK_DB00121
DRUGBANK:DB00255,http://purl.obolibrary.org/obo/DRUGBANK_DB00255
DRUGBANK:DB00016,http://purl.obolibrary.org/obo/DRUGBANK_DB00016
DRUGBANK:DB00446,http://purl.obolibrary.org/obo/DRUGBANK_DB00446
UBERON:0015005,http://purl.obolibrary.org/obo/UBERON_0015005
DRUGBANK:DB00635,http://purl.obolibrary.org/obo/DRUGBANK_DB00635
DRUGBANK:DB04652,http://purl.obolibrary.org/obo/DRUGBANK_DB04652
DRUGBANK:DB11311,http://purl.obolibrary.org/obo/DRUGBANK_DB11311
DRUGBANK:DB00512,http://purl.obolibrary.org/obo/DRUGBANK_DB00512
PR:000024142,http://purl.obolibrary.org/obo/PR_000024142
PR:P10637,http://purl.obolibrary.org/obo/PR_P10637
PR:P19332,http://purl.obolibrary.org/obo/PR_P19332
DRUGBANK:DB01048,http://purl.obolibrary.org/obo/DRUGBANK_DB01048
DRUGBANK:DB04173,http://purl.obolibrary.org/obo/DRUGBANK_DB04173
DRUGBANK:DB11242,http://purl.obolibrary.org/obo/DRUGBANK_DB11242
DRUGBANK:DB01045,http://purl.obolibrary.org/obo/DRUGBANK_DB01045
DRUGBANK:DB00644,http://purl.obolibrary.org/obo/DRUGBANK_DB00644
DRUGBANK:DB11588,http://purl.obolibrary.org/obo/DRUGBANK_DB11588
DRUGBANK:DB13260,http://purl.obolibrary.org/obo/DRUGBANK_DB13260
DRUGBANK:DB00260,http://purl.obolibrary.org/obo/DRUGBANK_DB00260
UBERON:0009034,http://purl.obolibrary.org/obo/UBERON_0009034
DRUGBANK:DB03754,http://purl.obolibrary.org/obo/DRUGBANK_DB03754
